"","Location","cig_smoke","toba_smoke","toba_use","HealyWarningsOnSmoking","MostSoldBrandCigaretteCurrency","MostSoldBrandCigarettePrice","TreatmentInHealthFacilities","BanOnEducationalFacilites","BanOnGovernmentFacilites","BanOnHealthcareFacilites","BanOnIndoorOffices","BanOnPublicTransport","BanOnPubsAndBars","BanOnRestaurants","BanOnUniversities","RegulationsOnSmokeFreeEnvironments","Year"
"131","Bulgaria",37.6,41.1,41.1,"No","BGN","4.7","No","8","8","10","7","10","2","3","8","7",2014
"132","Burkina Faso",10.4,2.5,26.5,"No","XOF","500","No","5","5","5","6","5","1","5","5","4",2014
"133","Burundi",15.5,18.4,20.5,"Not applicable","BIF","1,600","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2014
"134","Cambodia",2.5,2.7,43.4,"Not applicable","KHR","1,800","Yes in some","x","x","x","x","x","x","Not applicable","x","Not applicable",2014
"135","Cameroon",14.9,14.9,17.5,"No","XAF","500","No","9","Not applicable","9","Not applicable","Not applicable","Not applicable","Not applicable","5","5",2014
"136","Canada",14.8,15.4,20.7,"No","CAD","9.25","Yes in most","Not applicable","10","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","10",2014
"137","Chad",12.4,18,2.9,"No","XAF","700","No","8","7","9","9","9","8","8","4","6",2014
"138","Chile",35.7,46.2,46.2,"Yes","CLP","1,701","No","9","10","10","10","10","9","9","9","10",2014
"139","China",23.4,25.5,25.5,"Not applicable","CNY","11.61","Yes in some","Not applicable","Not applicable","Not applicable","Not applicable","9","Not applicable","Not applicable","Not applicable","4",2014
"140","Colombia",4.1,4.6,4.6,"Yes","COP","2,479","No","9","6","9","9","6","4","5","4","5",2014
"141","Comoros",19.8,23.9,22.6,"No","KMF","500","No","6","6","5","Not applicable","3","Not applicable","Not applicable","6","5",2014
"142","Congo",10.6,11.4,2.3,"No","XAF","600","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2014
"143","Cook Islands",23.6,29.5,29.5,"No","NZD","19","Yes in most","Not applicable","10","Not applicable","Not applicable","8","3","Not applicable","Not applicable","5",2014
"144","Costa Rica",14.9,16.7,16.7,"Yes","CRC","1,600","Yes in some","8","10","10","10","10","8","10","8","10",2014
"145","Croatia",32.4,36.1,36.1,"No","HRK","23","Yes in some","9","Not applicable","8","Not applicable","Not applicable","Not applicable","Not applicable","8","6",2014
"146","Cuba",21.8,30.4,30.4,"No","CUP","7","Yes in most","5","Not applicable","5","Not applicable","3","Not applicable","Not applicable","5","5",2014
"147","Cyprus",30.7,37.6,37.6,"No","EUR","4","No","5","5","7","Not applicable","Not applicable","0","3","5","8",2014
"148","Czechia",27.4,32.2,32.2,"No","CZK","72","Yes in some","10","Not applicable","5","Not applicable","Not applicable","Not applicable","Not applicable","9","5",2014
"149","Albania",43.7,51.1,51.1,"No","All","230","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"150","Algeria",11.2,14.7,19.1,"No","DZD","210","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"151","Andorra",27.9,33.9,33.9,"Not applicable","EUR","3.5","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"152","Argentina",20.5,22.7,23.6,"Yes","ARS","40","Yes in most",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"153","Armenia",25.8,27.5,27.5,"Not applicable","AMD","600","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"154","Australia",12.2,14.9,17.1,"No","AUD","21","Yes in most",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"155","Austria",28.5,30.7,30.7,"No","EUR","5","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"156","Azerbaijan",16.3,20.3,20.3,"Not applicable","AZN","2.8","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"157","Bahamas",2.6,18.5,18.5,"Not applicable","BSD","8.95","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"158","Bahrain",13.9,33.9,41.7,"Not applicable","BHD","1.5","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"159","Bangladesh",18.5,21.7,40.1,"Yes","BDT","50","Yes in some",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"160","Barbados",10.2,2.1,2.4,"Not applicable","BBD","15","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
